INFO:19/08/2018 20:57:51, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:20/08/2018 10:50:32, Programa lanzado. Datos: Número de genes: 12, Probabilidad de mutación: 0.2, Genes seleccionados: 4
INFO:20/08/2018 10:50:32, Se ha elegido el modo TRAINING
INFO:20/08/2018 10:50:32, Genoma importado
INFO:20/08/2018 10:50:34, Se va a entrenar durante 30 generaciones
INFO:20/08/2018 10:51:38, Copio 8
INFO:20/08/2018 10:51:38, Copio 3
INFO:20/08/2018 10:51:38, Copio 0
INFO:20/08/2018 10:51:38, Copio 4
INFO:20/08/2018 10:51:38, Fitness: #### [70, 55, 52, 49]
INFO:20/08/2018 10:51:38, Renumbering...
INFO:20/08/2018 10:51:38, 4 genes have been renumbered.
INFO:20/08/2018 10:51:38, Copio 2
INFO:20/08/2018 10:51:38, Copio 0
INFO:20/08/2018 10:51:38, Seleccionadoss 2 y 0
INFO:20/08/2018 10:51:39, Copio 3
INFO:20/08/2018 10:51:39, Copio 3
INFO:20/08/2018 10:51:39, Seleccionadoss 3 y 3
INFO:20/08/2018 10:51:39, Copio 0
INFO:20/08/2018 10:51:39, Copio 0
INFO:20/08/2018 10:51:39, Seleccionadoss 0 y 0
INFO:20/08/2018 10:51:39, Copio 1
INFO:20/08/2018 10:51:39, Copio 2
INFO:20/08/2018 10:51:39, Seleccionadoss 1 y 2
INFO:20/08/2018 10:51:39, Copio 3
INFO:20/08/2018 10:51:39, Copio 0
INFO:20/08/2018 10:51:39, Seleccionadoss 3 y 0
INFO:20/08/2018 10:51:39, Copio 2
INFO:20/08/2018 10:51:39, Copio 7
INFO:20/08/2018 10:51:39, Seleccionadoss 2 y 7
INFO:20/08/2018 10:51:39, Copio 5
INFO:20/08/2018 10:51:39, Copio 3
INFO:20/08/2018 10:51:39, Generación completada 1
INFO:20/08/2018 10:52:53, Copio 2
INFO:20/08/2018 10:52:53, Copio 4
INFO:20/08/2018 10:52:53, Copio 8
INFO:20/08/2018 10:52:53, Copio 6
INFO:20/08/2018 10:52:53, Fitness: #### [98, 70, 66, 60]
INFO:20/08/2018 10:52:53, Renumbering...
INFO:20/08/2018 10:52:53, 4 genes have been renumbered.
INFO:20/08/2018 10:52:53, Copio 3
INFO:20/08/2018 10:52:53, Copio 3
INFO:20/08/2018 10:52:53, Seleccionadoss 3 y 3
INFO:20/08/2018 10:52:53, Copio 3
INFO:20/08/2018 10:52:53, Copio 2
INFO:20/08/2018 10:52:53, Seleccionadoss 3 y 2
INFO:20/08/2018 10:52:53, Copio 4
INFO:20/08/2018 10:52:53, Copio 1
INFO:20/08/2018 10:52:53, Seleccionadoss 4 y 1
INFO:20/08/2018 10:52:53, Copio 0
INFO:20/08/2018 10:52:53, Copio 1
INFO:20/08/2018 10:52:53, Seleccionadoss 0 y 1
INFO:20/08/2018 10:52:53, Copio 4
INFO:20/08/2018 10:52:53, Copio 0
INFO:20/08/2018 10:52:54, Seleccionadoss 4 y 0
INFO:20/08/2018 10:52:54, Copio 6
INFO:20/08/2018 10:52:54, Copio 5
INFO:20/08/2018 10:52:54, Seleccionadoss 6 y 5
INFO:20/08/2018 10:52:54, Copio 2
INFO:20/08/2018 10:52:54, Copio 7
INFO:20/08/2018 10:52:54, Generación completada 2
INFO:20/08/2018 10:54:16, Copio 0
